,fermi_alpha,Run,altieri_entropy_index,graph_modularity
0,2.0,0,1.3780917667122807,0.3286459779490027
1,2.0,1,1.3790741565211169,0.3133701793441924
2,2.2758620689655173,2,1.3859370048343669,0.3288366217101251
3,2.2758620689655173,3,1.375310236444781,0.3317930555555555
4,2.5517241379310347,4,1.3725418208004272,0.330414477891934
5,2.5517241379310347,5,1.387934351502875,0.34592750017160884
6,2.8275862068965516,6,1.3864830873700478,0.33562099688954755
7,2.8275862068965516,7,1.3750255245108474,0.32929615099691284
8,3.103448275862069,8,1.3864725728113252,0.3480924574278671
9,3.103448275862069,9,1.3862814523658802,0.33954388797128365
10,3.3793103448275863,10,1.3838037669212866,0.3378887202263826
11,3.3793103448275863,11,1.3848976405390871,0.3367916528482182
12,3.655172413793103,12,1.3814991554892109,0.33341470008216384
13,3.655172413793103,13,1.3860696605842187,0.3273966624043105
14,3.9310344827586206,14,1.3712841257549144,0.3437444991705004
15,3.9310344827586206,15,1.3526482500623112,0.3279098490338781
16,4.206896551724138,16,1.3820503542614442,0.3236322916666667
17,4.206896551724138,17,1.38631803771942,0.3235841449869708
18,4.482758620689655,18,1.3765901357166095,0.32670177836428194
19,4.482758620689655,19,1.3880067373645628,0.3278678054786087
20,4.758620689655173,20,1.3724637912534283,0.3308586893186537
21,4.758620689655173,21,1.3837609339893802,0.3391209156279727
22,5.0344827586206895,22,1.3855372938270734,0.33902367502389297
23,5.0344827586206895,23,1.3862650771094844,0.3365134897815121
24,5.310344827586206,24,1.3876457346643043,0.3276773866003746
25,5.310344827586206,25,1.3725227467661465,0.3345289433800731
26,5.586206896551724,26,1.3864326785735175,0.3170785961443401
27,5.586206896551724,27,1.3681593579787568,0.32966967205109965
28,5.862068965517241,28,1.3802874707264148,0.3336576629163786
29,5.862068965517241,29,1.3863005851488035,0.3326492661847119
30,6.137931034482759,30,1.3867459022627802,0.34416487011890146
31,6.137931034482759,31,1.3702745341830997,0.3458263688521286
32,6.413793103448276,32,1.3842223011585788,0.3210558933777593
33,6.413793103448276,33,1.378347654985808,0.32234035818408996
34,6.689655172413793,34,1.3788892930237278,0.33455563326938875
35,6.689655172413793,35,1.3870980941342828,0.33182317233964864
36,6.9655172413793105,36,1.3847254551273578,0.3468325251007445
37,6.9655172413793105,37,1.3837177177196234,0.3430667509231325
38,7.241379310344827,38,1.3849043801731233,0.34034614939921914
39,7.241379310344827,39,1.3876052811345085,0.33394388938998243
40,7.517241379310345,40,1.3835801832889554,0.3340142485005838
41,7.517241379310345,41,1.3840577290246476,0.3434145880574452
42,7.793103448275862,42,1.3851757850498485,0.33152136244014774
43,7.793103448275862,43,1.3855818407364626,0.32065144152097447
44,8.068965517241379,44,1.3841780039707914,0.33517290921708687
45,8.068965517241379,45,1.374480464067559,0.33538870217489614
46,8.344827586206897,46,1.3818273971508945,0.32539265103367665
47,8.344827586206897,47,1.3786794919411187,0.3263983078855179
48,8.620689655172413,48,1.3730317045952685,0.3359998502080566
49,8.620689655172413,49,1.3699519691415278,0.35014337984278987
50,8.89655172413793,50,1.3869355049191912,0.33804470798271086
51,8.89655172413793,51,1.382449167824,0.33989857250187827
52,9.172413793103448,52,1.3844094056709018,0.3368200059453032
53,9.172413793103448,53,1.3866876393528231,0.33295102757544226
54,9.448275862068964,54,1.3872274114208676,0.3357197111405865
55,9.448275862068964,55,1.38557705822771,0.32339879714205144
56,9.724137931034482,56,1.3841683769266113,0.32292394517602796
57,9.724137931034482,57,1.378581990537661,0.3340813656965899
58,10.0,58,1.3722528446767408,0.32842595513412337
59,10.0,59,1.363505047449003,0.3337383060979746
